Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,2.0,0.01171875,✓,-0.4567901234567901,medium
Banzhaf,Owen-Data,1.0,0.0078125,✓,-0.30864197530864196,small
Banzhaf,Owen-Domain,0.0,0.00390625,✓,-0.654320987654321,large
Banzhaf,Owen-Model,0.0,0.00390625,✓,-0.6296296296296297,large
Banzhaf,R-Myerson,0.0,0.00390625,✓,-0.8518518518518519,large
Banzhaf,SHAP,1.0,0.0078125,✓,-0.5308641975308642,large
Myerson,Owen-Data,10.0,0.1640625,✗,0.18518518518518517,small
Myerson,Owen-Domain,3.0,0.01953125,✓,-0.3333333333333333,medium
Myerson,Owen-Model,8.0,0.09765625,✗,-0.1111111111111111,negligible
Myerson,R-Myerson,0.0,0.00390625,✓,-0.5555555555555556,large
Myerson,SHAP,14.0,0.359375,✗,-0.08641975308641975,negligible
Owen-Data,Owen-Domain,0.0,0.00390625,✓,-0.43209876543209874,medium
Owen-Data,Owen-Model,0.0,0.00390625,✓,-0.30864197530864196,small
Owen-Data,R-Myerson,0.0,0.00390625,✓,-0.6296296296296297,large
Owen-Data,SHAP,1.0,0.0078125,✓,-0.2345679012345679,small
Owen-Domain,Owen-Model,9.0,0.12890625,✗,0.25925925925925924,small
Owen-Domain,R-Myerson,15.0,0.42578125,✗,-0.06172839506172839,negligible
Owen-Domain,SHAP,3.0,0.01953125,✓,0.25925925925925924,small
Owen-Model,R-Myerson,0.0,0.00390625,✓,-0.38271604938271603,medium
Owen-Model,SHAP,12.0,0.25,✗,0.08641975308641975,negligible
R-Myerson,SHAP,0.0,0.00390625,✓,0.5308641975308642,large
